iter	MultiClass
159	0.8184733398
160	0.8182527344
161	0.8179595703
162	0.8176966797
163	0.8174263184
164	0.8172189453
165	0.8169694824
166	0.8166549805
167	0.8164714844
168	0.8163788574
169	0.8161567871
170	0.8158713867
171	0.8156654297
172	0.8154001953
173	0.8151248535
174	0.8150140137
175	0.814815918
176	0.8145689453
177	0.8142876953
178	0.8140638184
179	0.8138071289
180	0.8136540527
181	0.8134650391
182	0.8132064453
183	0.8129669922
184	0.8127219238
185	0.8125201172
186	0.8122286621
187	0.8120550781
188	0.8119316406
189	0.811745166
190	0.8115222168
191	0.8114262207
192	0.8112456055
193	0.8110436523
194	0.8107831055
195	0.810625293
196	0.8105165039
197	0.8103645996
198	0.8102068848
199	0.8099983887
200	0.8097360352
201	0.8094758789
202	0.8092256348
203	0.8090302246
204	0.8088766602
205	0.8086602051
206	0.8084945313
207	0.8083220215
208	0.8080740723
209	0.807901416
210	0.8076558594
211	0.8074107422
212	0.8072490723
213	0.8071674316
214	0.8070290527
215	0.8068456543
216	0.8066277832
217	0.8064438965
218	0.8061927734
219	0.8059557129
220	0.8057755371
221	0.8055983887
222	0.8054510254
223	0.8052106445
224	0.8050510254
225	0.8049286133
226	0.8047700195
227	0.8045523926
228	0.804334375
229	0.8041636719
230	0.8040738281
231	0.8039028809
232	0.8036699707
233	0.803357959
234	0.8032022461
235	0.8029640625
236	0.8028125977
237	0.8026428711
238	0.8025884766
239	0.802480127
240	0.802297998
241	0.8022183105
242	0.8021333008
243	0.8019683105
244	0.8017543457
245	0.8015792969
246	0.8014628418
247	0.8012449219
248	0.8011592285
249	0.8010030762
250	0.8008337402
251	0.8005771484
252	0.8004928711
253	0.8003365234
254	0.800226709
255	0.7998995605
256	0.7997755371
257	0.7996040527
258	0.799439209
259	0.7991041504
260	0.7990118164
261	0.7988327148
262	0.7987174316
263	0.7985736328
264	0.7984018066
265	0.7981841309
266	0.7980992188
267	0.7979056152
268	0.7977865723
269	0.7976570312
270	0.7974786133
271	0.7972939453
272	0.797197998
273	0.7969254883
274	0.7967526367
275	0.7965944336
276	0.7964706055
277	0.7964005859
278	0.7962500977
279	0.7960867188
280	0.7959432129
281	0.7957826172
282	0.7957368164
283	0.795609082
284	0.7954621582
285	0.7953512207
286	0.7952533691
287	0.7951906738
288	0.795063916
289	0.7949359375
290	0.794751416
291	0.7945651367
292	0.7943859863
293	0.7942499512
294	0.7941882324
295	0.7940163086
296	0.793789209
297	0.7937355469
298	0.7935868652
299	0.7932887207
300	0.7932071777
301	0.7930288574
302	0.7928955566
303	0.7927613281
304	0.7926133301
305	0.792547998
306	0.7924080078
307	0.7923348145
308	0.7922188965
309	0.7921051758
310	0.7919693359
311	0.7918479492
312	0.7917545898
313	0.7916969727
314	0.7915276855
315	0.7913740234
316	0.7912494141
317	0.7911238281
318	0.7910296875
319	0.790995459
320	0.7908689453
321	0.7906845215
322	0.7905801758
323	0.7904448242
324	0.7902416504
325	0.790186084
326	0.790115332
327	0.7900222656
328	0.7898777344
329	0.7898137695
330	0.7896505371
331	0.789531543
332	0.7894143066
333	0.7893150879
334	0.7892706055
335	0.7891916504
336	0.7890600098
337	0.7890290527
338	0.788875293
339	0.7887697754
340	0.7886500977
341	0.788449707
342	0.7883499512
343	0.7882637695
344	0.7881381836
345	0.7880345215
346	0.7879852539
347	0.7878427246
348	0.7877674316
349	0.78765
350	0.7875575684
351	0.787410498
352	0.7871828125
353	0.7871061035
354	0.7870552734
355	0.786904541
356	0.7867320313
357	0.7865619141
358	0.7864818359
359	0.7863379395
360	0.7862750488
361	0.7862191895
362	0.786094043
363	0.7859458008
364	0.7858129883
365	0.7856602539
366	0.7855960449
367	0.7853877441
368	0.7852806641
369	0.7850952637
370	0.784944043
371	0.7848000977
372	0.7846711914
373	0.7846162109
374	0.7844231934
375	0.7843789062
376	0.7843074219
377	0.7841717773
378	0.7841405273
379	0.7840536133
380	0.7839650879
381	0.7838959473
382	0.7837517578
383	0.7836920898
384	0.7836682129
385	0.7835401367
386	0.7834171875
387	0.7833443848
388	0.7832421387
389	0.7831376465
390	0.7830369629
391	0.782986084
392	0.7828473145
393	0.7827244141
394	0.7826447754
395	0.7825169434
396	0.7824232422
397	0.7823214844
398	0.7822427734
399	0.7821341797
400	0.7820404297
401	0.7818972656
402	0.7817796387
403	0.7816255371
404	0.7815390137
405	0.781456543
406	0.781321875
407	0.7812187988
408	0.7810900391
409	0.7810229492
410	0.7809424805
411	0.7808447754
412	0.7807912598
413	0.7806088867
414	0.7805412109
415	0.7804691895
416	0.7804307617
417	0.7803216797
418	0.780184082
419	0.7799660156
420	0.7798568359
421	0.7798153809
422	0.7797386719
423	0.7795833984
424	0.779420459
425	0.7792737305
426	0.7791529785
427	0.7790662109
428	0.7788741211
429	0.7787177246
430	0.7786244629
431	0.778477832
432	0.778340918
433	0.7782733398
434	0.7782671875
435	0.7781687988
436	0.7780875
437	0.778062207
438	0.7779756348
439	0.7778919434
440	0.7777807129
441	0.7776404297
442	0.7775315918
443	0.7774358887
444	0.7772972168
445	0.7771770996
446	0.7770528809
447	0.7770345703
448	0.7769539063
449	0.7768998047
450	0.7768348633
451	0.7767939941
452	0.7766651855
453	0.7766310059
454	0.7764959473
455	0.7763625488
456	0.7762574707
457	0.776211377
458	0.7761744629
459	0.7760399902
460	0.7759110352
461	0.7758208984
462	0.7757379883
463	0.7756354492
464	0.7755225098
465	0.7753736328
466	0.7752425781
467	0.7751877441
468	0.7750731934
469	0.7749102051
470	0.7747515137
471	0.7746199219
472	0.7744791992
473	0.7743996094
474	0.7742278809
475	0.7741422852
476	0.7741149414
477	0.7739603516
478	0.7739043945
479	0.7738525879
480	0.7737480469
481	0.7736506348
482	0.7735561035
483	0.7734067383
484	0.7732182617
485	0.773139502
486	0.7731233887
487	0.7730438965
488	0.7729184082
489	0.7728119629
490	0.7727102539
491	0.7726217285
492	0.7725357422
493	0.7724097656
494	0.7723608887
495	0.7722905762
496	0.7722303223
497	0.7721371094
498	0.7720550293
499	0.7719830566
500	0.7718061523
501	0.7717046387
502	0.7716470703
503	0.7715329102
504	0.7714125488
505	0.7713496094
506	0.7712513672
507	0.7711555664
508	0.7711525879
509	0.7710903809
510	0.7710431152
511	0.7709562012
512	0.7708827148
513	0.7707863281
514	0.7706821289
515	0.7705999512
516	0.7705068848
517	0.7703947266
518	0.7702952148
519	0.7701894531
520	0.7701649414
521	0.7700637695
522	0.7700246094
523	0.7699214844
524	0.7698670898
525	0.7698061523
526	0.7696692383
527	0.7695816895
528	0.7695374512
529	0.7693436523
530	0.7692408203
531	0.7690959961
532	0.768957666
533	0.768870752
534	0.768809082
535	0.768770752
536	0.7686478516
537	0.7685967773
538	0.7684803711
539	0.7683958984
540	0.7682966797
541	0.7682217773
542	0.7681131348
543	0.7680462402
544	0.7679806641
545	0.7678926758
546	0.7677963379
547	0.7676842773
548	0.7675492676
549	0.7674063477
550	0.7673611328
551	0.767245752
552	0.7671592773
553	0.7671390625
554	0.7670615723
555	0.7669295898
556	0.7668748535
557	0.7668491211
558	0.7667620117
559	0.7666296387
560	0.766562793
561	0.7664700684
562	0.7664177734
563	0.7663854004
564	0.7662447754
565	0.7661794922
566	0.7660602539
567	0.7659763184
568	0.7659018555
569	0.7657786621
570	0.7657307129
571	0.7656662109
572	0.7655694824
573	0.7654399902
574	0.7653901367
575	0.7652506348
576	0.7650754883
577	0.7649646484
578	0.7648865234
579	0.7648217773
580	0.7647145996
581	0.7646121582
582	0.7645444336
583	0.7645079102
584	0.7644664062
585	0.7642263672
586	0.7641728516
587	0.7640603027
588	0.7640020508
589	0.7639563477
590	0.7638328125
591	0.7637713379
592	0.7637675781
593	0.7637102051
594	0.7636407227
595	0.7635707031
596	0.7635422363
597	0.7634691406
598	0.7634053223
599	0.7632852051
600	0.7632253418
601	0.7631089844
602	0.7630788086
603	0.7630202637
604	0.7629562012
605	0.762831543
606	0.7627958008
607	0.762704834
608	0.7625978027
609	0.7624896973
610	0.7624116699
611	0.7622666504
612	0.7622066895
613	0.7621008789
614	0.7619780273
615	0.7619175293
616	0.7618122559
617	0.7617637207
618	0.7616955078
619	0.7616193359
620	0.7615605469
621	0.7614748047
622	0.7614058105
623	0.761314502
624	0.7612364258
625	0.7611474609
626	0.7610966309
627	0.7610266602
628	0.7609283203
629	0.7608495117
630	0.7607869141
631	0.7607532227
632	0.7607402832
633	0.7606932617
634	0.7605962891
635	0.7605266113
636	0.7604944336
637	0.7604029297
638	0.7603253906
639	0.7602961426
640	0.760195459
641	0.7601463379
642	0.7600176758
643	0.7598837402
644	0.7598225098
645	0.7597381348
646	0.7596779785
647	0.7595927246
648	0.759476709
649	0.7593669434
650	0.7593005859
651	0.7592756836
652	0.7592040527
653	0.759034082
654	0.7589709961
655	0.7587777344
656	0.7587130859
657	0.7586609863
658	0.7586147461
659	0.7585502441
660	0.7584699707
661	0.7583381348
662	0.758223291
663	0.758173291
664	0.7580967285
665	0.7580244141
666	0.7579597656
667	0.7579155273
668	0.7578245605
669	0.7577788086
670	0.7577495117
671	0.7575801758
672	0.757484082
673	0.757436084
674	0.7573899902
675	0.7573240723
676	0.7572075684
677	0.7571278809
678	0.7570728027
679	0.7569172363
680	0.7568743164
681	0.7568342773
682	0.7567973633
683	0.7567462891
684	0.7567260742
685	0.7566431152
686	0.7566190918
687	0.7565852539
688	0.7565345215
689	0.7564574707
690	0.7564303223
691	0.756354541
692	0.7562814941
693	0.7561701172
694	0.7561012207
695	0.756052002
696	0.755985498
697	0.7559016113
698	0.7558195801
699	0.7557814453
700	0.7557146484
701	0.7556476074
702	0.755554248
703	0.7555174805
704	0.7554245117
705	0.7553231445
706	0.7552645996
707	0.7551898926
708	0.7551124512
709	0.7550801758
710	0.7549824219
711	0.7548791992
712	0.7548222168
713	0.7547345215
714	0.7545577148
715	0.7545441895
716	0.7545028809
717	0.754371875
718	0.7543293945
719	0.7542281738
720	0.7541403809
721	0.7540118652
722	0.7538984375
723	0.753805957
724	0.7537198242
725	0.7536142578
726	0.7535466797
727	0.7534470215
728	0.7533615723
729	0.7532666504
730	0.7532037109
731	0.7531272461
732	0.7530792969
733	0.752968457
734	0.7529368164
735	0.7528985352
736	0.7527995605
737	0.7527128906
738	0.7526895508
739	0.7526449707
740	0.752597998
741	0.7525812988
742	0.7524526367
743	0.7523699707
744	0.7523211914
745	0.7522805176
746	0.7521942871
747	0.7521423828
748	0.7520455078
749	0.75203125
750	0.7518828613
751	0.7517710449
752	0.7516827148
753	0.7516229004
754	0.7515835449
755	0.7514641602
756	0.7514040039
757	0.7513208984
758	0.7512701172
759	0.7511546387
760	0.7510710449
761	0.75093125
762	0.7508810059
763	0.7506950684
764	0.7505876953
765	0.7505370117
766	0.7505087891
767	0.7504619629
768	0.7503785156
769	0.7502984863
770	0.7502130371
771	0.7501174805
772	0.7500670898
773	0.7499690918
774	0.7498737305
775	0.7497931152
776	0.7497342285
777	0.7496649414
778	0.7495747559
779	0.7494844727
780	0.749407666
781	0.749351709
782	0.7492424316
783	0.7492106445
784	0.7491253418
785	0.7490793945
786	0.748983252
787	0.748926709
788	0.7489077148
789	0.7488546875
790	0.7487891602
791	0.7487132324
792	0.7486051758
793	0.7485824219
794	0.7484721191
795	0.7484440918
796	0.7484005371
797	0.7483418945
798	0.7482462402
799	0.7481489746
800	0.7480914063
801	0.7480154297
802	0.7479319824
803	0.7478919922
804	0.7478568359
805	0.7477899902
806	0.7477278809
807	0.7475522949
808	0.74745
809	0.7474173828
810	0.7472973145
811	0.747229834
812	0.747150293
813	0.7470942871
814	0.7470759766
815	0.7469743164
